Fuel system status: Fuel system 2	Calculated engine load [%]	Engine Coolant Temperature [°F]	Short Term Fuel Trim - Bank 1 [%]	Long Term Fuel Trim - Bank 1 [%]	Ignition Timing Advance for #1 Cylinder	Bank 1 - Sensor 1 (O2S): Oxygen Sensor Output Voltage [V]	Bank 1 - Sensor 1 (O2S): Short Term Fuel Trim [%]	Bank 1 - Sensor 2 (O2S): Oxygen Sensor Output Voltage [V]	Bank 1 - Sensor 2 (O2S): Short Term Fuel Trim [%]	Fuel consumption [MPG]	Battery voltage [V]	Engine RPM [RPM]	Air Flow Rate from Mass Flow Sensor [lb/min]	Intake Air Temperature [°F]	Absolute Throttle Position [%]	Vehicle Speed Sensor [mph]	Time
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	string
												class	class	class	class	class	meta
	20.0	158.0	13.3	19.5	12.5	0.06	10.9	0.055		0.0	13.9	966.0	0.5	91.0	10.6	0.0	13:28:37.081
	20.0	158.0	13.3	19.5	12.5	0.06	10.9	0.055		0.0	13.9	1039.0	0.5	91.0	10.6	0.0	13:28:37.331
	20.0	158.0	13.3	19.5	12.5	0.06	10.9	0.055		0.0	13.9	1039.0	0.5	91.0	10.6	0.0	13:28:37.592
	20.0	158.0	13.3	19.5	13.0	0.06	10.9	0.055		0.0	13.9	1039.0	0.5	91.0	10.6	0.0	13:28:37.842
	20.0	158.0	13.3	19.5	13.0	0.06	10.9	0.055		0.0	13.9	1039.0	0.5	91.0	10.6	0.0	13:28:38.097
	20.0	158.0	13.3	19.5	13.0	0.06	10.9	0.055		0.0	13.9	1039.0	0.5	91.0	10.6	0.0	13:28:38.346
	20.0	158.0	13.3	19.5	13.0	0.06	10.9	0.055		0.0	13.9	1039.0	0.5	91.0	10.6	0.0	13:28:38.592
	20.0	158.0	13.3	19.5	13.0	0.06	10.9	0.055		0.0	13.9	1039.0	0.5	91.0	10.6	0.0	13:28:38.832
	20.0	158.0	13.3	19.5	13.0	0.07	10.9	0.055		0.0	13.9	1039.0	0.5	91.0	10.6	0.0	13:28:39.090
	20.0	158.0	13.3	19.5	13.0	0.07	15.6	0.055		0.0	13.9	1039.0	0.5	91.0	10.6	0.0	13:28:39.091
	20.0	158.0	13.3	19.5	13.0	0.07	15.6	0.07		0.0	13.9	1039.0	0.5	91.0	10.6	0.0	13:28:39.371
	20.0	158.0	13.3	19.5	13.0	0.07	15.6	0.07		0.0	13.9	1039.0	0.5	91.0	10.6	0.0	13:28:39.641
	20.0	158.0	13.3	19.5	13.0	0.07	15.6	0.07		0.0	13.9	1039.0	0.5	91.0	10.6	0.0	13:28:40.166
	20.0	158.0	13.3	19.5	13.0	0.07	15.6	0.07		0.0	14.0	1039.0	0.5	91.0	10.6	0.0	13:28:40.401
	20.0	158.0	13.3	19.5	13.0	0.07	15.6	0.07		0.0	14.0	1039.0	0.5	91.0	10.6	0.0	13:28:40.674
	20.0	158.0	13.3	19.5	13.0	0.07	15.6	0.07		0.0	14.0	1039.0	0.5	91.0	10.6	0.0	13:28:40.675
	19.2	158.0	13.3	19.5	13.0	0.07	15.6	0.07		0.0	14.0	1039.0	0.5	91.0	10.6	0.0	13:28:40.922
	19.2	158.0	13.3	19.5	13.0	0.07	15.6	0.07		0.0	14.0	1039.0	0.5	91.0	10.6	0.0	13:28:41.178
	19.2	158.0	18.0	19.5	13.0	0.07	15.6	0.07		0.0	14.0	1039.0	0.5	91.0	10.6	0.0	13:28:41.441
	19.2	158.0	18.0	19.5	13.0	0.07	15.6	0.07		0.0	14.0	1039.0	0.5	91.0	10.6	0.0	13:28:41.703
	19.2	158.0	18.0	19.5	13.0	0.07	15.6	0.07		0.0	14.0	1081.0	0.5	91.0	10.6	0.0	13:28:41.949
	19.2	158.0	18.0	19.5	13.0	0.07	15.6	0.07		0.0	14.0	1081.0	0.5	91.0	10.6	0.0	13:28:42.192
	19.2	158.0	18.0	19.5	14.0	0.07	15.6	0.07		0.0	14.0	1081.0	0.5	91.0	10.6	0.0	13:28:42.442
	19.2	158.0	18.0	19.5	14.0	0.07	15.6	0.07		0.0	14.0	1081.0	0.5	93.0	10.6	0.0	13:28:42.699
	19.2	158.0	18.0	19.5	14.0	0.07	15.6	0.07		0.0	14.0	1081.0	0.5	93.0	10.6	0.0	13:28:42.949
	19.2	158.0	18.0	19.5	14.0	0.07	15.6	0.07		0.0	14.0	1081.0	0.5	93.0	10.6	0.0	13:28:43.227
	19.2	158.0	18.0	19.5	14.0	0.07	15.6	0.07		0.0	14.0	1081.0	0.5	93.0	10.6	0.0	13:28:43.473
	19.2	158.0	18.0	19.5	14.0	0.14	15.6	0.07		0.0	14.0	1081.0	0.5	93.0	10.6	0.0	13:28:43.743
	19.2	158.0	18.0	19.5	14.0	0.14	19.5	0.07		0.0	14.0	1081.0	0.5	93.0	10.6	0.0	13:28:43.743
	19.2	158.0	18.0	19.5	14.0	0.14	19.5	0.105		0.0	14.0	1081.0	0.5	93.0	10.6	0.0	13:28:44.018
	19.2	158.0	18.0	19.5	14.0	0.14	19.5	0.105		0.0	14.0	1081.0	0.5	93.0	10.6	0.0	13:28:44.272
	19.2	158.0	18.0	19.5	14.0	0.14	19.5	0.105		0.0	14.0	1081.0	0.5	93.0	10.6	0.0	13:28:44.796
	19.2	158.0	18.0	19.5	14.0	0.14	19.5	0.105		0.0	14.1	1081.0	0.5	93.0	10.6	0.0	13:28:45.031
	19.2	158.0	18.0	19.5	14.0	0.14	19.5	0.105		0.0	14.1	1081.0	0.5	93.0	10.6	0.0	13:28:45.292
	19.2	158.0	18.0	19.5	14.0	0.14	19.5	0.105		0.0	14.1	1081.0	0.5	93.0	10.6	0.0	13:28:45.292
	17.3	158.0	18.0	19.5	14.0	0.14	19.5	0.105		0.0	14.1	1081.0	0.5	93.0	10.6	0.0	13:28:45.549
	17.3	159.0	18.0	19.5	14.0	0.14	19.5	0.105		0.0	14.1	1081.0	0.5	93.0	10.6	0.0	13:28:45.798
	17.3	159.0	17.2	19.5	14.0	0.14	19.5	0.105		0.0	14.1	1081.0	0.5	93.0	10.6	0.0	13:28:46.043
	17.3	159.0	17.2	19.5	14.0	0.14	19.5	0.105		0.0	14.1	1081.0	0.5	93.0	10.6	0.0	13:28:46.288
	17.3	159.0	17.2	19.5	14.0	0.14	19.5	0.105		0.0	14.1	1068.0	0.5	93.0	10.6	0.0	13:28:46.538
	17.3	159.0	17.2	19.5	14.0	0.14	19.5	0.105		0.0	14.1	1068.0	0.5	93.0	10.6	0.0	13:28:46.796
	17.3	159.0	17.2	19.5	15.0	0.14	19.5	0.105		0.0	14.1	1068.0	0.5	93.0	10.6	0.0	13:28:47.064
	17.3	159.0	17.2	19.5	15.0	0.14	19.5	0.105		0.0	14.1	1068.0	0.5	93.0	10.6	0.0	13:28:47.342
