Fuel system status: Fuel system 2	Short Term Fuel Trim - Bank 1 [%]	Long Term Fuel Trim - Bank 1 [%]	Bank 1 - Sensor 1 (O2S): Short Term Fuel Trim [%]	Bank 1 - Sensor 2 (O2S): Short Term Fuel Trim [%]	Engine RPM [RPM]	Air Flow Rate from Mass Flow Sensor [lb/min]	Intake Air Temperature [°F]	Absolute Throttle Position [%]	Vehicle Speed Sensor [mph]	Ignition Timing Advance for #1 Cylinder	Engine Coolant Temperature [°F]	Battery voltage [V]	Calculated engine load [%]	Bank 1 - Sensor 2 (O2S): Oxygen Sensor Output Voltage [V]	Bank 1 - Sensor 1 (O2S): Oxygen Sensor Output Voltage [V]	Fuel consumption [MPG]	Time
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	string
					class	class	class	class	class	class	class	class	class	class	class	class	meta
	17.2	19.5	14.8		1068.0	0.3	93.0	10.6	0.0	15.0	159.0	14.0	17.3	0.89	0.965	0.0	13:28:49.586
	17.2	19.5	14.8		1068.0	0.3	93.0	10.6	0.0	15.0	159.0	14.0	17.3	0.89	0.965	0.0	13:28:49.843
	17.2	19.5	14.8		1068.0	0.3	93.0	10.6	0.0	15.0	159.0	14.0	17.3	0.89	0.965	0.0	13:28:49.843
	17.2	19.5	14.8		1068.0	0.3	93.0	10.6	0.0	15.0	159.0	14.0	14.5	0.89	0.965	0.0	13:28:50.090
	17.2	19.5	14.8		1068.0	0.3	93.0	10.6	0.0	15.0	159.0	14.0	14.5	0.89	0.965	0.0	13:28:50.332
	12.5	19.5	14.8		1068.0	0.3	93.0	10.6	0.0	15.0	159.0	14.0	14.5	0.89	0.965	0.0	13:28:50.600
	12.5	19.5	14.8		1068.0	0.3	93.0	10.6	0.0	15.0	159.0	14.0	14.5	0.89	0.965	0.0	13:28:50.848
	12.5	19.5	14.8		971.0	0.3	93.0	10.6	0.0	15.0	159.0	14.0	14.5	0.89	0.965	0.0	13:28:51.130
	12.5	19.5	14.8		971.0	0.3	93.0	10.6	0.0	15.0	159.0	14.0	14.5	0.89	0.965	0.0	13:28:51.402
	12.5	19.5	14.8		971.0	0.3	93.0	10.6	0.0	12.5	159.0	14.0	14.5	0.89	0.965	0.0	13:28:51.644
	12.5	19.5	14.8		971.0	0.3	93.0	10.6	0.0	12.5	159.0	14.0	14.5	0.89	0.965	0.0	13:28:51.889
	12.5	19.5	14.8		971.0	0.5	93.0	10.6	0.0	12.5	159.0	14.0	14.5	0.89	0.965	0.0	13:28:52.138
	12.5	19.5	14.8		971.0	0.5	93.0	10.6	0.0	12.5	159.0	14.0	14.5	0.89	0.965	0.0	13:28:52.385
